,,,,,,,,,,,MUA VÀO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STT,HÃNG XE,LOẠI XE,TÌNH TRẠNG,BIỂN KIỂM SOÁT,SỐ KM,MÀU XE,NĂM SX XE,GIÁ ĐĂNG BÁN,GIÁ THU VỀ,LƯƠNG CTV,GIÁ MUA VÀO,LẦN 1,LẦN 2,LẦN 3,CÒN LẠI,HOA HỒNG MÔI GIỚI,CHI PHÍ XĂNG/CĐ/VÉ XE,CHI PHÍ KHÁC,NGÀY NHẬP KHO,THÁNG NHẬP XE,PHỤ TRÁCH MUA XE,LƯƠNG THU MUA,CHI PHÍ SỬA CHỮA,CHI PHÍ DỌN XE ĐÁNH PÁT,GHI CHÚ,GIÁ BÁN,NGÀY NHẬN CỌC,CHI PHÍ CÔNG CHỨNG,PHÍ RÚT HỒ SƠ,CHI PHÍ ĐỔI/ THUÊ PIN,CHI PHÍ KHÁC (Tặng hoa + phụ kiện....),HOA HỒNG MÔI GIỚI,PHỤ TRÁCH BÁN HÀNG,LƯƠNG BÁN HÀNG,"CỘNG GIÁ THÀNH
(GIÁ BÁN - CP KHÁC)",GIÁ VỐN (GIÁ MUA+CP KHÁC),LỢI NHUẬN GỘP,THU TIỀN LẦN 1,THU TIỀN LẦN 2,THU TIỀN LẦN 3,THU TIỀN LẦN 4,CÒN PHẢI THU BÁN XE,HÌNH THỨC THANH TOÁN,NGÂN HÀNG,SỐ TIỀN VAY,SỐ NGÀY TỒN KHO,ĐÃ HOÀN BÁN,GHI CHÚ KHÁC,,,,5/21/2026
124,VINFAST,VF7 PLUS,Mua Pin,51M-74062,11.000,Đen,2025,790.000.000,780.000.000,5.000.000,685.000.000,50.000.000,640.000.000,,0,5.000.000,,,3/13/2026,03/2026,Thái,3.000.000,,,,768.000.000,19/03/2026,380.000,,500.000,,,Thái,5.000.000,762.120.000,693.000.000,69.120.000,400.000.000,100.000.000,267.000.000,,1.000.000,,,,69,/03/26,Khách đưa trước 400 nợ lại,,,,
125,VINFAST,VF5 PLUS,Mua Pin,51L-462.30,17.000,Xanh,2023,390.000.000,380.000.000,3.000.000,325.000.000,10.000.000,315.000.000,4.000.000,0,4.000.000,,,3/18/2026,03/2026,Vinh,3.000.000,,1.500.000,,380.000.000,18/03/2026,550.000,2.300.000,500.000,,,Tuấn,3.000.000,373.650.000,333.500.000,40.150.000,10.000.000,200.000.000,100.000.000,70.000.000,0,,,,64,/03/26,,,,,
126,VINFAST,LUX A PRE,,51K-482.71,80.000,Đen,2019,510.000.000,500.000.000,5.000.000,370.000.000,370.000.000,,,0,,,,3/18/2026,03/2026,Thái,3.000.000,800.000,4.300.000,,500.000.000,30/03/2026,500.000,2.300.000,,360.000,,Tuấn,5.000.000,491.840.000,378.100.000,113.740.000,10.000.000,470.000.000,20.000.000,,0,,,,64,/03/26,,,,,
127,VINFAST,LUX A BASE,,51K-37907,30.000,Trắng,2022,595.000.000,585.000.000,5.000.000,538.000.000,10.000.000,350.000.000,178.000.000,0,,,,3/19/2026,03/2026,Vinh,3.000.000,,1.800.000,,580.000.000,19/03/29026,350.000,2.300.000,,,,Vinh,5.000.000,572.350.000,542.800.000,29.550.000,10.000.000,40.000.000,510.000.000,20.000.000,0,,,,63,/03/26,,,,,
128,MITSUBISHI,XPANDER CROSS,,51H-37983,26.000,Bạc,2020,490.000.000,480.000.000,5.000.000,415.000.000,10.000.000,405.000.000,2.000.000,0,2.000.000,,,3/23/2026,03/2026,Bình,3.000.000,700.000,,,440.000.000,08/04/2026,500.000,,,,,Bình,2.000.000,437.500.000,420.700.000,16.800.000,440.000.000,,,,0,,,,59,/04/26,,,,,
129,VINFAST,LUX A BASE,,30G-619.52,32.000,Đỏ,2020,500.000.000,490.000.000,5.000.000,430.000.000,10.000.000,410.000.000,14.000.000,0,4.000.000,300.000,400.000,3/25/2026,03/2026,Thái,3.000.000,800.000,300.000,,490.000.000,05/04/2026,750.000,2.500.000,,,,Bình,5.000.000,481.750.000,438.800.000,42.950.000,20.000.000,220.000.000,200.000.000,,50.000.000,,,,57,/04/26,,,,,
130,VINFAST,LUX SA BASE,,51H-78658,61.000,Trắng,2019,595.000.000,585.000.000,5.000.000,535.000.000,10.000.000,525.000.000,,0,,,,3/25/2026,03/2026,Vũ,3.000.000,4.000.000,2.600.000,,,,,,,,,,,0,544.600.000,(-544.600.000),,,,,0,,,,57,,,,,,
131,VINFAST,LUX A BASE,,30E-34331,24.000,Đỏ,2022,580.000.000,570.000.000,5.000.000,500.000.000,480.000.000,20.000.000,,0,,,600.000,3/23/2026,03/2026,Vũ,3.000.000,,3.350.000,,570.000.000,26/03/2026,770.000,2.500.000,,2.000.000,,Thái,5.000.000,559.730.000,506.950.000,52.780.000,20.000.000,130.000.000,50.000.000,370.000.000,0,,,,59,/03/26,DV bấm số vay bank 370tr,,,,
132,VINFAST,FADIL BASE,,83A-10769,39.000,Trắng,2020,290.000.000,285.000.000,3.000.000,235.000.000,10.000.000,225.000.000,3.000.000,0,3.000.000,,,3/28/2026,03/2026,Thái,3.000.000,3.500.000,,,,,,,,,,,,0,244.500.000,(-244.500.000),,,,,0,,,,54,,,,,,
133,VINFAST,LUX A BASE,,51H-975.93,89.000,Trắng,2021,510.000.000,500.000.000,5.000.000,435.000.000,20.000.000,300.000.000,120.000.000,0,5.000.000,,,4/3/2026,04/2026,Thái,3.000.000,3.500.000,,,493.000.000,04/05/2026,350.000,2.300.000,,,,CTV,5.000.000,485.350.000,446.500.000,38.850.000,333.000.000,150.000.000,10.000.000,,0,,,,48,/05/26,,,,,
134,VINFAST,VF6 PLUS,Mua Pin,50E-25890,21.000,trắng,2025,645.000.000,635.000.000,5.000.000,567.000.000,15.000.000,500.000.000,57.000.000,0,5.000.000,,,4/1/2026,03/2026,Hào,,,,Hào 1 bánh đã chuyển 143 tr đã hoàn lại 143 tr,640.000.000,02/04/2026,557.000,2.300.000,500.000,666.000,13.494.000,Hào,10.000.000,612.483.000,572.000.000,40.483.000,3.000.000,607.000.000,30.000.000,,0,,,,50,/04/26,,,,,
135,VINFAST,FADIL BASE,,51H-966.95,44.000,Xám,2021,320.000.000,315.000.000,3.000.000,270.000.000,66.000.000,10.000.000,194.000.000,0,,,,4/2/2026,04/2026,Quốc,3.000.000,,,,,,,2.300.000,,,,,,(-2.300.000),273.000.000,(-275.300.000),,,,,0,,,,49,,,,,,
136,VINFAST,LUX A PRE,,48A-11941,42.000,Xám,2019,560.000.000,550.000.000,5.000.000,500.000.000,10.000.000,490.000.000,5.000.000,0,5.000.000,,,4/11/2026,04/2026,Vinh,3.000.000,,,,550.000.000,04/2026,500.000,2.500.000,,,,CTV,5.000.000,542.000.000,508.000.000,34.000.000,40.000.000,480.000.000,40.000.000,,(-10.000.000),,,,40,/05/26,,,,,
137,VINFAST,VF5 PLUS,Mua Pin,79H-08794,40.000,trắng,2025,430.000.000,420.000.000,3.000.000,365.000.000,285.000.000,80.000.000,3.000.000,0,3.000.000,550.000,350.000,4/6/2026,04/2026,Hào,0,,,Hào 1 bánh 92tr,425.000.000,18/05/2026,,1.200.000,500.000,,12.000.000,Bình,3.000.000,408.300.000,368.900.000,39.400.000,10.000.000,,,,415.000.000,,,,45,/05/26,Bao sang tên hộp đen,,,,
138,VINFAST,VF5 PLUS,Mua Pin,79A-532.11,36.000,Đỏ,2023,390.000.000,380.000.000,3.000.000,330.000.000,20.000.000,280.000.000,30.000.000,0,,,500.000,4/6/2026,04/2026,Hào,0,,,"Hào 1 bánh 82,5 tr",373.000.000,07/04/2026,400.000,2.000.000,500.000,9.075.000,,Vinh,3.000.000,358.025.000,330.500.000,27.525.000,10.000.000,363.000.000,,,0,,,,45,/04/26,,,,,
139,VINFAST,LUX SA PRE,,79A-287.76,32.000,Xanh,2019,640.000.000,630.000.000,5.000.000,510.000.000,510.000.000,,5.000.000,0,5.000.000,1.600.000,600.000,4/6/2026,04/2026,Hào,4.000.000,2.300.000,200.000,,610.000.000,24/04/2026,400.000,1.200.000,,9.168.000,,Vinh,5.000.000,594.232.000,523.700.000,70.532.000,30.000.000,500.000.000,50.000.000,30.000.000,0,,,,45,/04/26,,,,,
140,VINFAST,VF5 PLUS,Mua Pin,84H-02232,20.000,Đỏ,2025,445.000.000,435.000.000,3.000.000,380.000.000,10.000.000,290.000.000,79.000.000,1.000.000,,,,4/14/2026,04/2026,Vinh,3.000.000,,,,430.000.000,08/05/2026,700.000,2.500.000,500.000,,,Bình,3.000.000,423.300.000,383.000.000,40.300.000,20.000.000,430.000.000,,,(-20.000.000),,,,37,/05/26,,,,,
141,VINFAST,VF5 PLUS,Mua Pin,69H-01267,21.000,trắng,2025,445.000.000,435.000.000,3.000.000,380.000.000,10.000.000,365.000.000,5.000.000,0,,,,4/15/2026,04/2026,Thái,3.000.000,400.000,,,427.000.000,01/05/2026,350.000,2.500.000,500.000,,,Bình,3.000.000,420.650.000,383.400.000,37.250.000,20.000.000,380.000.000,27.000.000,,0,,,,36,/05/26,,,,,
142,TOYOTA ,ALTIS 1.8 HEV,,51K-311.28,11.000,Trắng,2022,715.000.000,705.000.000,5.000.000,640.000.000,10.000.000,630.000.000,4.000.000,0,4.000.000,,,4/13/2026,04/2026,Quốc,3.000.000,400.000,,,700.000.000,13/04/2026,400.000,,,,,Thái,5.000.000,694.600.000,647.400.000,47.200.000,300.000.000,400.000.000,,,0,,,,38,/04/26,,,,,
143,TOYOTA ,VENZA ,,51A-119.53,39.000,Nâu vàng,2011,515.000.000,505.000.000,5.000.000,400.000.000,400.000.000,,,0,,,,4/14/2026,04/2026,Thái,3.000.000,400.000,,,485.000.000,14/04/2026,700.000,,,,,Quốc,5.000.000,479.300.000,403.400.000,75.900.000,485.000.000,,,,0,,,,37,/04/26,,,,,
144,VINFAST,VF6 ECO,Mua Pin,72A-92751,27.000,Xám,2025,580.000.000,570.000.000,5.000.000,510.000.000,125.000.000,385.000.000,5.000.000,0,5.000.000,,,4/17/2026,04/2026,Quốc,3.000.000,1.500.000,894.000,,565.000.000,19/04/2026,350.000,1.800.000,500.000,,,Quốc,5.000.000,557.350.000,520.394.000,36.956.000,15.000.000,400.000.000,150.000.000,,0,,,,34,/04/26,,,,,
145,VINFAST,LUX A PLUS,,72A-924.47,16.000,Đỏ,2019,530.000.000,520.000.000,5.000.000,455.000.000,400.000.000,55.000.000,,0,,,,4/18/2026,04/2026,Thái,3.000.000,300.000,,,515.000.000,26/04/2026,550.000,,,,,Bình,5.000.000,509.450.000,458.300.000,51.150.000,485.000.000,28.000.000,,,2.000.000,,,,33,/04/26,,,,,
146,TOYOTA ,ALTIS 1.8 HEV,,51K-311.28,11.000,Trắng,2022,715.000.000,705.000.000,5.000.000,695.000.000,695.000.000,,,0,,,,4/18/2026,04/2026,,,,,,703.000.000,18/04/2026,350.000,2.300.000,,,,An,5.000.000,695.350.000,695.000.000,350.000,5.000.000,640.000.000,38.000.000,,20.000.000,,,,33,/04/26,,,,,
147,VINFAST,LUX A BASE,,71A-13052,69.000,Xám,2021,520.000.000,510.000.000,5.000.000,425.000.000,350.000.000,75.000.000,6.000.000,0,6.000.000,,,4/20/2026,04/2026,Vinh,3.000.000,,,,,,350.000,2.500.000,,,,,,(-2.850.000),434.000.000,(-436.850.000),,,,,0,,,,31,,,,,,
148,VINFAST,VF6 ECO,Mua Pin,50E-26014,13.000,Đỏ,2025,585.000.000,575.000.000,5.000.000,525.000.000,25.000.000,430.000.000,75.000.000,0,5.000.000,,,4/24/2026,04/2026,Thái,3.000.000,,,,580.000.000,24/04/2026,,,,,,Vinh,5.000.000,575.000.000,533.000.000,42.000.000,550.000.000,30.000.000,,,0,,,,27,/04/26,,,,,
149,VINFAST,VF5 PLUS,Mua Pin,65A-453.24,25.000,trắng,2024,420.000.000,410.000.000,3.000.000,362.000.000,342.000.000,20.000.000,3.000.000,0,3.000.000,350.000,295.000,4/23/2026,04/2026,Vũ,3.000.000,300.000,1.080.000,,420.000.000,04/05/2025,350.000,2.500.000,500.000,10.000.000,,Bình,3.000.000,403.650.000,370.025.000,33.625.000,50.000.000,,,,370.000.000,,,,28,/05/26,Bao sang tên,,,,
150,VINFAST,VF5 PLUS,Mua Pin,50H-742.30,28.000,trắng,2024,415.000.000,405.000.000,3.000.000,350.000.000,10.000.000,330.000.000,14.000.000,0,4.000.000,350.000,300.000,4/24/2026,04/2026,Hào,0,,,"Hào 1 bánh đã chuyển 88,5 tr",405.000.000,02/05/2026,350.000,2.300.000,500.000,,11.050.000,CTV,3.000.000,387.800.000,354.650.000,33.150.000,20.000.000,365.000.000,20.000.000,,0,,,,27,/05/26,,,,,
151,VINFAST,VF7 ECO,Mua Pin,66A-286.48,37.000,Xám,2025,650.000.000,640.000.000,5.000.000,580.000.000,220.000.000,236.000.000,124.000.000,0,,350.000,300.000,4/24/2026,04/2026,Vinh,3.000.000,2.900.000,3.300.000,,650.000.000,30/04/2025,350.000,3.000.000,500.000,,,Tuấn,5.000.000,641.150.000,589.850.000,51.300.000,10.000.000,590.000.000,,,50.000.000,,,,27,/04/26,,,,,
152,VINFAST,VF7 PLUS Nâng cao,Mua Pin,47A-818.57,17.000,Xám,2025,795.000.000,785.000.000,5.000.000,730.000.000,10.000.000,320.000.000,400.000.000,0,,,,5/2/2026,04/2026,Thái,3.000.000,,,,794.000.000,08/05/2026,350.000,2.500.000,500.000,15.000.000,,Thái,5.000.000,770.650.000,733.000.000,37.650.000,750.000.000,,,,44.000.000,,,,19,/05/26,Bao sang tên,,,,
153,VINFAST,LIMO GREEN,Mua Pin,65H-028.30,2.500,Bạc,2025,670.000.000,660.000.000,5.000.000,610.000.000,590.000.000,20.000.000,3.000.000,0,3.000.000,300.000,,4/28/2026,04/2026,Vũ,3.000.000,350.000,,,655.000.000,28/04/2026,700.000,2.500.000,500.000,,,Bình,5.000.000,646.300.000,617.730.000,28.570.000,30.000.000,500.000.000,100.000.000,25.000.000,0,,,,23,/04/26,,,,,
154,VINFAST,VF6 ECO,Mua Pin,50E-26014,13.000,Đỏ,2025,585.000.000,575.000.000,5.000.000,530.000.000,530.000.000,,,,,,,5/4/2026,05/2026,Vinh,3.000.000,,,,580.000.000,06/05/2026,350.000,2.300.000,500.000,15.000.000,,Vũ,5.000.000,556.850.000,533.000.000,23.850.000,20.000.000,540.000.000,,,20.000.000,,,,17,/05/26,Bao sang tên ,,,,
155,VINFAST,LIMO GREEN,Mua Pin,23A-178.17,1.800,Vàng,2025,690.000.000,680.000.000,5.000.000,625.000.000,456.776.515,143.223.485,25.000.000,0,,,,5/7/2026,05/2026,Quốc,3.000.000,,,,690.000.000,08/05/2026,,3.000.000,500.000,15.000.000,,Hào,5.000.000,666.500.000,628.000.000,38.500.000,10.000.000,,,,680.000.000,,,,14,/05/26,Bao sang tên ,,,,
156,VINFAST,LIMO GREEN,Mua Pin,,6.000,Vàng,2025,690.000.000,680.000.000,5.000.000,625.000.000,25.000.000,447.000.000,153.000.000,0,,,,5/12/2026,05/2026,Quốc,3.000.000,,,,,,,,,,,,,0,628.000.000,(-628.000.000),,,,,0,,,,9,,,,,,
157,VINFAST,LIMO GREEN,Mua Pin,,3.000,Đỏ,2025,700.000.000,690.000.000,5.000.000,625.000.000,443.000.000,157.000.000,,25.000.000,,,,5/12/2026,05/2026,Quốc,3.000.000,,,,650.000.000,19/05/2026,,,,,,Vũ,2.000.000,648.000.000,628.000.000,20.000.000,20.000.000,182.000.000,448.000.000,,0,,,,9,/05/26,,,,,
158,VINFAST,LUX SA PRE,,51B-726.90,42.000,Xanh,2021,730.000.000,720.000.000,5.000.000,650.000.000,50.000.000,400.000.000,200.000.000,0,,,,5/17/2026,05/2026,Vinh,3.000.000,,,,710.000.000,20/05/2026,,2.300.000,,,18.500.000,Bình,5.000.000,684.200.000,653.000.000,31.200.000,20.000.000,,,,690.000.000,,,,4,/05/26,Bao sang tên,,,,
159,VINFAST,LUX A BASE,,17A-33273,63.000,Đen,2022,550.000.000,540.000.000,5.000.000,452.000.000,400.000.000,52.000.000,5.000.000,0,5.000.000,,,5/12/2026,05/2026,Vinh,3.000.000,,,,,,,3.000.000,,,,,,(-3.000.000),460.000.000,(-463.000.000),,,,,0,,,,9,,,,,,
160,VINFAST,LIMO GREEN,Mua Pin,51L-90510,5.000,Trắng,2025,705.000.000,695.000.000,5.000.000,615.000.000,10.000.000,599.200.000,,5.800.000,,,,5/14/2026,05/2026,Quốc,3.000.000,,,,695.000.000,14/05/2026,,2.300.000,500.000,,,CTV,5.000.000,687.200.000,618.000.000,69.200.000,665.000.000,,,,30.000.000,,,,7,/05/26,,,,,
161,VINFAST,VF6 ECO,Mua Pin,65A-38996,16.000,Trắng,2025,580.000.000,570.000.000,5.000.000,510.000.000,450.000.000,,,65.000.000,5.000.000,,,5/13/2026,05/2026,Hào,0,,,Hào 1 bánh 129 tr,578.000.000,14/05/2026,350.000,2.500.000,500.000,,16.000.000,Bình,5.000.000,553.650.000,515.000.000,38.650.000,10.000.000,,,,568.000.000,,,,8,/05/26,,,,,
162,VINFAST,LIMO GREEN,Mua Pin,,6.000,Bạc,2025,695.000.000,685.000.000,5.000.000,625.000.000,30.000.000,122.000.000,443.000.000,30.000.000,,,,5/18/2026,05/2026,Quốc,3.000.000,,,,,,,,,,,,,0,628.000.000,(-628.000.000),,,,,0,,,,3,,,,,,
163,VINFAST,VF3,Mua Pin,60K-50858,12.000,trắng,2025,,,,205.000.000,50.000.000,,,155.000.000,,,,,05/2026,Vinh,3.000.000,,,,225.000.000,19/05/2026,,,,,,,2.000.000,223.000.000,208.000.000,15.000.000,25.000.000,,,,200.000.000,,,,46163,/05/26,,,,,
164,VINFAST,VF7 PLUS,Mua Pin,60K-59106,100,Xanh,2024,760.000.000,750.000.000,5.000.000,680.000.000,50.000.000,,,630.000.000,,,,,05/2026,Vinh,3.000.000,,,,,,,,,,,,,0,683.000.000,(-683.000.000),,,,,0,,,,46163,,,,,,
165,VINFAST,VF7 PLUS,Mua Pin,60C-75374,12.000,Trắng,2024,760.000.000,750.000.000,5.000.000,700.000.000,50.000.000,,,650.000.000,,,,,05/2026,Vinh,3.000.000,,,,,,,,,,,,,0,703.000.000,(-703.000.000),,,,,0,,,,46163,,,,,,
166,VINFAST,VF7 PLUS,Mua Pin,60C-77536,30,Xám,2025,790.000.000,780.000.000,5.000.000,740.000.000,50.000.000,,,690.000.000,,,,,05/2026,Vinh,3.000.000,,,,,,,,,,,,,0,743.000.000,(-743.000.000),,,,,0,,,,46163,,,,,,
167,VINFAST,LIMO GREEN,Mua Pin,60K-11623,3.000,Đỏ,2025,695.000.000,685.000.000,5.000.000,625.000.000,50.000.000,,,575.000.000,,,,,05/2026,Vinh,3.000.000,,,,,,,,,,,,,0,628.000.000,(-628.000.000),,,,,0,,,,46163,,,,,,
168,VINFAST,LIMO GREEN,Mua Pin,60K-50230,6.000,Đen,2025,695.000.000,685.000.000,5.000.000,625.000.000,50.000.000,,,575.000.000,,,,,05/2026,Vinh,3.000.000,,,,675.000.000,20/05/2026,,2.000.000,,,,CTV QUỐC,5.000.000,668.000.000,628.000.000,40.000.000,10.000.000,,,,665.000.000,,,,46163,/05/26,,,,,
169,,,,,,,,,,,,,,,0,,,,,,,#REF!,,,,,,,,,,,,,0,#REF!,#REF!,,,,,0,,,,46163,,,,,,
170,,,,,,,,,,,,,,,0,,,,,,,#REF!,,,,,,,,,,,,,0,#REF!,#REF!,,,,,0,,,,46163,,,,,,
171,,,,,,,,,,,,,,,0,,,,,,,#REF!,,,,,,,,,,,,,0,#REF!,#REF!,,,,,0,,,,46163,,,,,,
172,,,,,,,,,,,,,,,0,,,,,,,#REF!,,,,,,,,,,,,,0,#REF!,#REF!,,,,,0,,,,46163,,,,,,
173,,,,,,,,,,,,,,,,,,,,,,#REF!,,,,,,,,,,,,,0,#REF!,#REF!,,,,,0,,,,46163,,,,,,
174,,,,,,,,,,,,,,,,,,,,,,#REF!,,,,,,,,,,,,,0,#REF!,#REF!,,,,,0,,,,46163,,,,,,
175,,,,,,,,,,,,,,,,,,,,,,#REF!,,,,,,,,,,,,,0,#REF!,#REF!,,,,,0,,,,46163,,,,,,
176,,,,,,,,,,,,,,,,,,,,,,#REF!,,,,,,,,,,,,,0,#REF!,#REF!,,,,,0,,,,46163,,,,,,
177,,,,,,,,,,,,,,,,,,,,,,#REF!,,,,,,,,,,,,,0,#REF!,#REF!,,,,,0,,,,46163,,,,,,
178,,,,,,,,,,,,,,,,,,,,,,#REF!,,,,,,,,,,,,,0,#REF!,#REF!,,,,,0,,,,46163,,,,,,
179,,,,,,,,,,,,,,,,,,,,,,#REF!,,,,,,,,,,,,,0,#REF!,#REF!,,,,,0,,,,46163,,,,,,
180,,,,,,,,,,,,,,,,,,,,,,#REF!,,,,,,,,,,,,,0,#REF!,#REF!,,,,,0,,,,46163,,,,,,
181,,,,,,,,,,,,,,,,,,,,,,#REF!,,,,,,,,,,,,,0,#REF!,#REF!,,,,,0,,,,46163,,,,,,
182,,,,,,,,,,,,,,,,,,,,,,#REF!,,,,,,,,,,,,,0,#REF!,#REF!,,,,,0,,,,46163,,,,,,
183,,,,,,,,,,,,,,,,,,,,,,#REF!,,,,,,,,,,,,,0,#REF!,#REF!,,,,,0,,,,46163,,,,,,
184,,,,,,,,,,,,,,,,,,,,,,#REF!,,,,,,,,,,,,,0,#REF!,#REF!,,,,,0,,,,46163,,,,,,
185,,,,,,,,,,,,,,,,,,,,,,#REF!,,,,,,,,,,,,,0,#REF!,#REF!,,,,,0,,,,46163,,,,,,
186,,,,,,,,,,,,,,,,,,,,,,#REF!,,,,,,,,,,,,,0,#REF!,#REF!,,,,,0,,,,46163,,,,,,
187,,,,,,,,,,,,,,,,,,,,,,#REF!,,,,,,,,,,,,,0,#REF!,#REF!,,,,,0,,,,46163,,,,,,
188,,,,,,,,,,,,,,,,,,,,,,#REF!,,,,,,,,,,,,,0,#REF!,#REF!,,,,,0,,,,46163,,,,,,
189,,,,,,,,,,,,,,,,,,,,,,#REF!,,,,,,,,,,,,,0,#REF!,#REF!,,,,,0,,,,46163,,,,,,
190,,,,,,,,,,,,,,,,,,,,,,#REF!,,,,,,,,,,,,,0,#REF!,#REF!,,,,,0,,,,46163,,,,,,
191,,,,,,,,,,,,,,,,,,,,,,#REF!,,,,,,,,,,,,,0,#REF!,#REF!,,,,,0,,,,46163,,,,,,
192,,,,,,,,,,,,,,,,,,,,,,#REF!,,,,,,,,,,,,,0,#REF!,#REF!,,,,,0,,,,46163,,,,,,
193,,,,,,,,,,,,,,,,,,,,,,#REF!,,,,,,,,,,,,,0,#REF!,#REF!,,,,,0,,,,46163,,,,,,
194,,,,,,,,,,,,,,,,,,,,,,#REF!,,,,,,,,,,,,,0,#REF!,#REF!,,,,,0,,,,46163,,,,,,
195,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,
196,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,
197,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,
198,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,
199,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,
200,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,
201,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,
202,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,
203,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,
204,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,
205,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,
206,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,
207,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,
208,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,
209,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,
210,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,
211,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,
212,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,
213,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,
214,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,
215,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,
216,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,
217,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,
218,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,
219,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,
220,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,
221,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,
222,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,
223,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,
224,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,
225,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,
226,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,
227,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,
228,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,
229,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,
230,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,
231,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,
232,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,
233,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,
234,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,
235,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,
236,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,
237,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,
